"count","results__id","results__user_id","results__team_id","results__name","results__description","results__date","results__value","results__category","results__icon","results__requirements","results__type"
"19","1","1","5","Submission","Correct Submission for Test","2020-10-06T22:27:56","100","BlueTeam","null","null","standard"
"","2","1","5","Submission","Correct Submission for Descifrando sin descifrar","2020-10-12T22:25:50","100","Programación","null","null","standard"
"","3","1","5","Submission","Correct Submission for Test Manual Verification","2020-10-14T20:55:52","100","Programacion","null","null","standard"
"","4","356","118","Hint 31","Hint for Twitter","2020-10-23T23:14:16","-10","hints","null","null","standard"
"","5","194","65","Hint 31","Hint for Twitter","2020-10-23T23:14:50","-10","hints","null","null","standard"
"","6","395","132","Hint 31","Hint for Twitter","2020-10-23T23:39:42","-10","hints","null","null","standard"
"","7","309","104","Hint 31","Hint for Twitter","2020-10-24T00:20:23","-10","hints","null","null","standard"
"","8","94","36","Hint 31","Hint for Twitter","2020-10-24T00:46:34","-10","hints","null","null","standard"
"","9","495","176","Hint 31","Hint for Twitter","2020-10-24T05:41:20","-10","hints","null","null","standard"
"","10","188","64","Hint 31","Hint for Twitter","2020-10-24T07:14:59","-10","hints","null","null","standard"
"","11","237","76","Hint 31","Hint for Twitter","2020-10-24T18:05:43","-10","hints","null","null","standard"
"","12","53","23","Hint 31","Hint for Twitter","2020-10-24T21:32:17","-10","hints","null","null","standard"
"","13","435","80","Hint 31","Hint for Twitter","2020-10-25T01:22:02","-10","hints","null","null","standard"
"","14","415","141","Hint 31","Hint for Twitter","2020-10-25T04:17:41","-10","hints","null","null","standard"
"","15","483","114","Hint 31","Hint for Twitter","2020-10-25T04:33:52","-10","hints","null","null","standard"
"","16","388","130","Hint 31","Hint for Twitter","2020-10-25T04:56:23","-10","hints","null","null","standard"
"","17","313","106","Submission","Correct Submission for Quiero Llorar 3","2020-10-26T02:09:23","500","Quiero llorar :( .. recuperemos el estado!!","null","null","standard"
"","18","200","67","Submission","Correct Submission for Quiero Llorar 3","2020-10-26T02:09:37","500","Quiero llorar :( .. recuperemos el estado!!","null","null","standard"
"","19","193","64","Submission","Correct Submission for Quiero Llorar 3","2020-10-26T02:09:52","500","Quiero llorar :( .. recuperemos el estado!!","null","null","standard"
