"count","results__id","results__type","results__location","results__challenge_id","results__page_id"
"30","1","standard","2e4741c3ac56e7d0ff91ade6dc3a90a8/Logo.png","null","null"
"","2","page","5ffcf6a1479de968a86530961e582cc1/WhatsApp_Image_2020-08-06_at_23.42.55_1.jpeg","null","null"
"","22","challenge","65652669b698c76fce3d43542129bed4/detectando_Trafico_de_red_Malicioso.rar","24","null"
"","25","challenge","585b5213a884ed9bea638ae53cb47d6e/evaluacion_de_estado_de_dns_de_zona.pdf","22","null"
"","26","challenge","52fe408489d01c74f91a6ddbf3c14bc1/gestion_firmas_ec.pdf","23","null"
"","27","challenge","bb7ba5d9e4e3d7f072dd33be73680e49/automatizacion_de_iocs.pdf","21","null"
"","28","challenge","ee165f52e53621d3c3617722b1a9feb0/automatizacion_de_iocs_data.rar","21","null"
"","29","challenge","1918c57fd80d94ca1d05c6670257a942/el_pescador_bueno.pdf","25","null"
"","30","challenge","9bb8b7311f2f56d45a1d1d2b2a2ada89/el_pescador_malo.pdf","26","null"
"","32","challenge","8517bbc5161d24c1598215c68073b5d1/descifrando_sin_descifrar.pdf","20","null"
"","33","challenge","33491e64c32b9c86003edfa789f2b11c/detectando_trafico_de_red_malicioso.pdf","24","null"
"","34","challenge","bf9a3083f82175996b4a7949ec2fb7ba/SecretoOsint.wav","27","null"
"","35","challenge","c6ea8cda159e40613f2ddf136c1da205/putty.exe","34","null"
"","36","challenge","5683882035e09108b1f3af56bd76a738/007.wav","56","null"
"","38","challenge","bd7a32e824e81662bde02708431c7f80/espacio_exterior.txt","60","null"
"","39","challenge","5748beb6b5d6d11e367aace83d494883/lista.txt","61","null"
"","40","challenge","310f8c89e9d0358760c07720c566a8e8/hackme.txt","62","null"
"","41","challenge","cc3ada4000babbef743d0b4bbc6a0058/Buscando_contrasenas.7z","68","null"
"","42","challenge","d6aaabd5fdd2171b0ead6eb88197499c/estego.jpg","71","null"
"","43","challenge","c3376a455e3e7c65338d57978f24f9d7/cesarcodificandocon64numerosdelasuerte.png","73","null"
"","44","challenge","a9e42d3122e4db34df89110625f9df1f/pescador.md","76","null"
"","45","challenge","7b00df71e7577c6fa39fbecb72d66121/sinsalt.md","78","null"
"","46","challenge","ae427d2064b6960633ba54d2f002aabb/DroidLogin.apk","79","null"
"","47","challenge","dd66d146f0ceb1f66aaa8f0765e34246/regalo.pcap","80","null"
"","48","challenge","89c5ab80d445aeb2aebac68026b5b158/MSG.nex","81","null"
"","49","challenge","239fa2f2cbaa707235da1cfa2e1d1f76/devnet_ipaddress_1.txt","82","null"
"","50","challenge","ca49766284c299b55270c992ac496d2a/devnet_ipaddress_2.txt","83","null"
"","51","challenge","eca58e9c1f18043d2e058181c2f41540/NETWORKING.pcap","85","null"
"","52","challenge","019dd8837a605e157f9bdff57d8c1294/mrrobot.zip","57","null"
"","54","challenge","f09ca139029df7004f8f76a5846f5c2a/pfSense3-UDP4-1191-elpescador-config.ovpn","76","null"
