"count","results__id","results__challenge_id","results__user_id","results__team_id"
"1573","60","60","95","36"
"","73","85","130","47"
"","75","60","311","106"
"","84","87","130","47"
"","86","61","95","36"
"","97","89","130","47"
"","106","90","130","47"
"","117","56","220","71"
"","131","85","469","162"
"","144","108","328","111"
"","160","78","200","67"
"","176","56","311","106"
"","193","110","362","121"
"","205","92","130","47"
"","211","108","362","121"
"","220","93","130","47"
"","222","94","130","47"
"","252","95","130","47"
"","254","85","365","122"
"","272","97","130","47"
"","273","98","130","47"
"","276","62","200","67"
"","277","99","130","47"
"","280","87","469","162"
"","285","100","130","47"
"","297","101","130","47"
"","299","102","130","47"
"","304","50","73","29"
"","310","104","130","47"
"","312","111","362","121"
"","318","73","200","67"
"","319","112","362","121"
"","327","89","469","162"
"","328","113","362","121"
"","330","85","331","111"
"","331","51","73","29"
"","338","78","63","25"
"","344","114","362","121"
"","353","116","200","67"
"","372","87","200","67"
"","377","87","136","48"
"","378","115","362","121"
"","386","94","200","67"
"","417","56","365","122"
"","441","111","200","67"
"","459","113","200","67"
"","470","114","200","67"
"","490","56","205","67"
"","501","89","136","48"
"","509","52","73","29"
"","515","90","136","48"
"","528","73","95","36"
"","552","87","331","111"
"","555","92","136","48"
"","560","108","239","77"
"","562","93","136","48"
"","571","133","433","79"
"","578","94","136","48"
"","587","108","130","47"
"","603","62","311","106"
"","610","95","136","48"
"","617","89","331","111"
"","635","111","365","122"
"","636","90","331","111"
"","638","56","395","132"
"","673","58","52","23"
"","680","121","73","29"
"","692","60","388","130"
"","695","108","200","67"
"","706","97","331","111"
"","710","98","331","111"
"","711","99","331","111"
"","714","139","201","67"
"","715","100","331","111"
"","716","62","220","71"
"","721","96","136","48"
"","723","101","331","111"
"","738","102","331","111"
"","740","97","136","48"
"","748","65","200","67"
"","756","103","331","111"
"","766","68","63","25"
"","768","104","331","111"
"","784","113","130","47"
"","796","98","136","48"
"","800","99","136","48"
"","806","100","136","48"
"","823","114","130","47"
"","847","111","130","47"
"","857","101","136","48"
"","859","121","309","104"
"","861","78","389","130"
"","865","58","495","176"
"","868","58","311","106"
"","869","92","331","111"
"","874","102","136","48"
"","916","93","331","111"
"","921","108","333","112"
"","923","103","136","48"
"","924","133","185","63"
"","929","94","331","111"
"","946","104","136","48"
"","948","108","61","25"
"","967","139","83","31"
"","980","112","200","67"
"","986","108","220","71"
"","992","79","75","29"
"","1052","109","200","67"
"","1053","109","61","25"
"","1064","112","130","47"
"","1065","85","407","137"
"","1069","118","200","67"
"","1075","95","331","111"
"","1080","115","130","47"
"","1090","96","331","111"
"","1092","116","130","47"
"","1097","108","94","36"
"","1098","60","83","31"
"","1100","119","200","67"
"","1114","124","309","104"
"","1123","115","200","67"
"","1184","118","130","47"
"","1186","56","132","47"
"","1196","58","388","130"
"","1208","90","469","162"
"","1212","78","73","29"
"","1215","61","83","31"
"","1219","108","52","23"
"","1221","119","130","47"
"","1226","133","76","29"
"","1235","58","395","132"
"","1247","109","363","121"
