"count","results__id","results__challenge_id","results__value"
"279","128","24","programación"
"","129","24","desarrollo"
"","130","24","machine learning"
"","131","20","programación"
"","132","20","desarrollo"
"","135","22","programación"
"","136","22","desarrollo"
"","137","23","programación"
"","138","23","desarrollo"
"","139","21","programación"
"","140","21","desarrollo"
"","141","25","programación"
"","142","25","desarrollo"
"","143","26","programación"
"","144","26","desarrollo"
"","145","27","purple"
"","146","27","decodificador"
"","147","27","sstv"
"","148","28","purple"
"","149","28","metadatos"
"","150","28","imagenes"
"","151","29","purple"
"","152","29","osint"
"","153","29","google"
"","154","30","purple"
"","155","30","osint"
"","156","30","clave"
"","157","31","purple"
"","158","31","osint"
"","159","31","forenseimagen"
"","160","32","purple"
"","161","32","osint"
"","162","32","informacion"
"","163","33","purple"
"","164","33","osint"
"","165","33","informacion"
"","166","34","RedTeam"
"","167","35","purple"
"","168","35","osint"
"","169","35","socialmint"
"","170","36","purple"
"","171","36","osint"
"","172","36","socialmint"
"","173","37","purple"
"","174","37","osint"
"","175","37","socialmint"
"","176","38","purple"
"","177","38","osint"
"","178","38","socialmint"
"","179","39","purple"
"","180","39","osint"
"","181","39","socialmint"
"","182","40","purple"
"","183","40","osint"
"","184","40","socialmint"
"","185","41","purple"
"","186","41","osint"
"","187","41","imagenes"
"","188","42","purple"
"","189","42","osint"
"","190","42","imagenes"
"","191","43","purple"
"","192","43","osint"
"","193","43","imagenes"
"","194","44","purple"
"","195","44","osint"
"","196","44","imagenes"
"","197","45","purple"
"","198","45","osint"
"","199","45","imagenes"
"","200","46","purple"
"","201","46","osint"
"","202","46","ubicacion"
"","203","47","purple"
"","204","47","osint"
"","205","47","ubicacion"
"","206","48","purple"
"","207","48","osint"
"","208","48","ubicacion"
"","209","49","purple"
"","210","49","osint"
"","211","49","ubicacion"
"","212","50","RedTeam"
"","213","51","RedTeam"
"","214","52","RedTeam"
"","215","53","RedTeam"
"","216","54","RedTeam"
"","217","55","red"
"","218","55","web"
"","219","56","estegranografía"
