"count","results__id","results__user_id","results__team_id","results__target","results__date","results__type"
"13","1","356","118","31","2020-10-23T23:14:16","hints"
"","2","194","65","31","2020-10-23T23:14:50","hints"
"","3","395","132","31","2020-10-23T23:39:42","hints"
"","4","309","104","31","2020-10-24T00:20:23","hints"
"","5","94","36","31","2020-10-24T00:46:34","hints"
"","6","495","176","31","2020-10-24T05:41:20","hints"
"","7","188","64","31","2020-10-24T07:14:59","hints"
"","8","237","76","31","2020-10-24T18:05:43","hints"
"","9","53","23","31","2020-10-24T21:32:17","hints"
"","10","435","80","31","2020-10-25T01:22:02","hints"
"","11","415","141","31","2020-10-25T04:17:41","hints"
"","12","483","114","31","2020-10-25T04:33:52","hints"
"","13","388","130","31","2020-10-25T04:56:23","hints"
